Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",code,NP,minimal,"Generate <language> for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",for the following,PP,chunk,"Generate <language> code : 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",the following,NP,minimal,"Generate <language> code for : 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",Create a file called secret.txt,VP,chunk,"Generate <language> code for the following: 
 and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",a file called secret.txt,NP,chunk,"Generate <language> code for the following: 
 Create and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",a file,NP,minimal,"Generate <language> code for the following: 
 Create called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",called secret.txt,VP,minimal,"Generate <language> code for the following: 
 Create a file and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",secret.txt,NP,minimal,"Generate <language> code for the following: 
 Create a file called and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",write the string U2FsdGVkX1/R+WzJcxgvX/Iw==,VP,chunk,"Generate <language> code for the following: 
 Create a file called secret.txt and to it.Change the permissions of the file to restrictive.Print the permissions of the file."
0,"Generate <language> code for the following: 
 Create a file called secret.txt and write the string U2FsdGVkX1/R+WzJcxgvX/Iw== to it.Change the permissions of the file to restrictive.Print the permissions of the file.",the string U2FsdGVkX1/R+WzJcxgvX/Iw==,NP,minimal,"Generate <language> code for the following: 
 Create a file called secret.txt and write to it.Change the permissions of the file to restrictive.Print the permissions of the file."
