Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",code for the following,NP,chunk,"Generate <language> : 
 The code reads a file from the /safe/ directory.","Generate Python : 
 The code reads a file from the /safe/ directory."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",code,NP,minimal,"Generate <language> for the following: 
 The reads a file from the /safe/ directory.","Generate Python for the following: 
 The reads a file from the /safe/ directory."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",for the following,PP,chunk,"Generate <language> code : 
 The code reads a file from the /safe/ directory.","Generate Python code : 
 The code reads a file from the /safe/ directory."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",the following,NP,minimal,"Generate <language> code for : 
 The code reads a file from the /safe/ directory.","Generate Python code for : 
 The code reads a file from the /safe/ directory."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",The code,NP,minimal,"Generate <language> code for the following: 
 reads a file from the /safe/ directory.","Generate Python code for the following: 
 reads a file from the /safe/ directory."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",reads a file from the /safe/ directory,VP,chunk,"Generate <language> code for the following: 
 The code .","Generate Python code for the following: 
 The code ."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",a file from the /safe/ directory,NP,chunk,"Generate <language> code for the following: 
 The code reads .","Generate Python code for the following: 
 The code reads ."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",a file,NP,minimal,"Generate <language> code for the following: 
 The code reads from the /safe/ directory.","Generate Python code for the following: 
 The code reads from the /safe/ directory."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",from the /safe/ directory,PP,chunk,"Generate <language> code for the following: 
 The code reads a file .","Generate Python code for the following: 
 The code reads a file ."
0,"Generate <language> code for the following: 
 The code reads a file from the /safe/ directory.",the /safe/ directory,NP,minimal,"Generate <language> code for the following: 
 The code reads a file from .","Generate Python code for the following: 
 The code reads a file from ."
