Category,Value,Base,Result,Frequency,Evaluable
Syntagm Type,ADJP,50,6,12.00%,True
Syntagm Type,ADVP,54,5,9.26%,True
Syntagm Type,CONJP,1,0,0.00%,False
Syntagm Type,INTJ,2,0,0.00%,False
Syntagm Type,NP,2446,219,8.95%,True
Syntagm Type,PP,657,48,7.31%,True
Syntagm Type,PRT,23,0,0.00%,False
Syntagm Type,QP,6,1,16.67%,False
Syntagm Type,SBAR,287,29,10.10%,True
Syntagm Type,VP,676,48,7.10%,True
Syntagm Type,WHADVP,27,3,11.11%,True
Syntagm Type,WHNP,91,9,9.89%,True
Granularity,chunk,1613,108,6.70%,True
Granularity,clause,72,6,8.33%,True
Granularity,minimal,2635,254,9.64%,True
Sentence Index,0,3030,294,9.70%,True
Sentence Index,1,543,29,5.34%,True
Sentence Index,2,420,33,7.86%,True
Sentence Index,3,207,11,5.31%,True
Sentence Index,4,66,0,0.00%,False
Sentence Index,5,22,1,4.55%,False
Sentence Index,6,18,0,0.00%,False
Sentence Index,7,8,0,0.00%,False
Sentence Index,8,3,0,0.00%,False
Sentence Index,9,3,0,0.00%,False
