"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_112/code_row_23.c","4","13","4","37"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_112/code_row_5.c","4","13","4","32"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_113/code_row_10.c","4","13","4","32"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_113/code_row_19.c","4","13","4","37"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_113/code_row_21.c","4","13","4","37"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_113/code_row_27.c","4","13","4","37"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_113/code_row_5.c","5","13","5","32"
"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_113/code_row_8.c","4","13","4","32"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 256 bytes but the destination is only 8 bytes.","/syntactic_permutations_131/code_row_5.c","30","20","30","32"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'sscanf string argument' operation requires 51 bytes but the destination is only 50 bytes.","/syntactic_permutations_134/code_row_14.c","52","33","52","40"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 101 bytes but the destination is only 100 bytes.","/syntactic_permutations_148/code_row_27.c","12","25","12","32"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 501 bytes but the destination is only 500 bytes.","/syntactic_permutations_148/code_row_27.c","12","35","12","41"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'sscanf string argument' operation requires 51 bytes but the destination is only 50 bytes.","/syntactic_permutations_37/code_row_24.c","31","44","31","51"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'sscanf string argument' operation requires 51 bytes but the destination is only 50 bytes.","/syntactic_permutations_37/code_row_27.c","34","80","34","87"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'sscanf string argument' operation requires 51 bytes but the destination is only 50 bytes.","/syntactic_permutations_54/code_row_43.c","22","71","22","78"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 100 bytes but the destination is only 50 bytes.","/syntactic_permutations_56/code_row_5.c","37","19","37","29"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 51 bytes but the destination is only 50 bytes.","/syntactic_permutations_94/code_row_7.c","48","19","48","26"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 51 bytes but the destination is only 50 bytes.","/syntactic_permutations_94/code_row_7.c","51","19","51","26"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'fscanf string argument' operation requires 257 bytes but the destination is only 32 bytes.","/syntactic_permutations_97/code_row_7.c","23","57","23","69"
"Potential use after free","An allocated memory block is used after it has been freed. Behavior in such cases is undefined and can cause memory corruption.","warning","Memory may have been previously freed by [[""call to free""|""relative:///syntactic_permutations_89/code_row_30.c:44:5:44:8""]].","/syntactic_permutations_89/code_row_30.c","46","29","46","31"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for printf expects 1 arguments but given 0","/syntactic_permutations_124/code_row_34.c","13","5","13","10"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for __builtin___snprintf_chk (in a macro expansion) expects 1 arguments but given 0","/syntactic_permutations_29/code_row_1.c","17","5","21","20"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'char *' does not match the argument type 'int'.","/syntactic_permutations_134/code_row_25.c","52","28","52","62"
