Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,50,2,4.00%
Syntagm Type,ADVP,54,3,5.56%
Syntagm Type,CONJP,1,0,0.00%
Syntagm Type,INTJ,2,0,0.00%
Syntagm Type,NP,2446,53,2.17%
Syntagm Type,PP,657,11,1.67%
Syntagm Type,PRT,23,0,0.00%
Syntagm Type,QP,6,0,0.00%
Syntagm Type,SBAR,287,2,0.70%
Syntagm Type,VP,676,17,2.51%
Syntagm Type,WHADVP,27,0,0.00%
Syntagm Type,WHNP,91,4,4.40%
Granularity,chunk,1613,31,1.92%
Granularity,clause,72,1,1.39%
Granularity,minimal,2635,60,2.28%
Sentence Index,0,3030,63,2.08%
Sentence Index,1,543,20,3.68%
Sentence Index,2,420,5,1.19%
Sentence Index,3,207,4,1.93%
Sentence Index,4,66,0,0.00%
Sentence Index,5,22,0,0.00%
Sentence Index,6,18,0,0.00%
Sentence Index,7,8,0,0.00%
Sentence Index,8,3,0,0.00%
Sentence Index,9,3,0,0.00%
