Row,CWE,Column,C,Python,Delta,Delta %,Direction
0,CWE-20,Base,1,92,+91,+9100.00%,↑
0,CWE-20,Result,0,3,+3,+100.00%,↑
0,CWE-20,Frequency,0.00%,3.26%,+3.26%,+100.00%,↑
1,CWE-22,Base,2,34,+32,+1600.00%,↑
1,CWE-22,Result,1,4,+3,+300.00%,↑
1,CWE-22,Frequency,50.00%,11.76%,-38.24%,-76.48%,↓
2,CWE-78,Base,4,16,+12,+300.00%,↑
2,CWE-78,Result,0,0,0,0.00%,=
2,CWE-78,Frequency,0.00%,0.00%,0.00%,0.00%,=
3,CWE-79,Base,1,14,+13,+1300.00%,↑
3,CWE-79,Result,0,0,0,0.00%,=
3,CWE-79,Frequency,0.00%,0.00%,0.00%,0.00%,=
4,CWE-89,Base,6,47,+41,+683.33%,↑
4,CWE-89,Result,0,4,+4,+100.00%,↑
4,CWE-89,Frequency,0.00%,8.51%,+8.51%,+100.00%,↑
5,CWE-200,Base,7,123,+116,+1657.14%,↑
5,CWE-200,Result,1,5,+4,+400.00%,↑
5,CWE-200,Frequency,14.29%,4.07%,-10.22%,-71.52%,↓
6,CWE-306,Base,5,115,+110,+2200.00%,↑
6,CWE-306,Result,0,11,+11,+100.00%,↑
6,CWE-306,Frequency,0.00%,9.57%,+9.57%,+100.00%,↑
7,CWE-434,Base,2,100,+98,+4900.00%,↑
7,CWE-434,Result,0,3,+3,+100.00%,↑
7,CWE-434,Frequency,0.00%,3.00%,+3.00%,+100.00%,↑
8,CWE-476,Base,8,91,+83,+1037.50%,↑
8,CWE-476,Result,0,3,+3,+100.00%,↑
8,CWE-476,Frequency,0.00%,3.30%,+3.30%,+100.00%,↑
9,CWE-522,Base,26,134,+108,+415.38%,↑
9,CWE-522,Result,0,8,+8,+100.00%,↑
9,CWE-522,Frequency,0.00%,5.97%,+5.97%,+100.00%,↑
10,CWE-732,Base,29,31,+2,+6.90%,↑
10,CWE-732,Result,1,1,0,0.00%,=
10,CWE-732,Frequency,3.45%,3.23%,-0.22%,-6.38%,↓
11,CWE-787,Base,1,30,+29,+2900.00%,↑
11,CWE-787,Result,0,0,0,0.00%,=
11,CWE-787,Frequency,0.00%,0.00%,0.00%,0.00%,=
