Row,CWE,Column,Java,Python,Delta,Delta %,Direction
0,CWE-20,Base,26,92,+66,+253.85%,↑
0,CWE-20,Result,0,3,+3,+100.00%,↑
0,CWE-20,Frequency,0.00%,3.26%,+3.26%,+100.00%,↑
1,CWE-22,Base,15,34,+19,+126.67%,↑
1,CWE-22,Result,2,4,+2,+100.00%,↑
1,CWE-22,Frequency,13.33%,11.76%,-1.57%,-11.78%,↓
2,CWE-78,Base,48,16,-32,-66.67%,↓
2,CWE-78,Result,3,0,-3,-100.00%,↓
2,CWE-78,Frequency,6.25%,0.00%,-6.25%,-100.00%,↓
3,CWE-79,Base,17,14,-3,-17.65%,↓
3,CWE-79,Result,0,0,0,0.00%,=
3,CWE-79,Frequency,0.00%,0.00%,0.00%,0.00%,=
4,CWE-89,Base,14,47,+33,+235.71%,↑
4,CWE-89,Result,0,4,+4,+100.00%,↑
4,CWE-89,Frequency,0.00%,8.51%,+8.51%,+100.00%,↑
5,CWE-190,Base,12,123,+111,+925.00%,↑
5,CWE-190,Result,0,5,+5,+100.00%,↑
5,CWE-190,Frequency,0.00%,4.07%,+4.07%,+100.00%,↑
6,CWE-200,Base,24,115,+91,+379.17%,↑
6,CWE-200,Result,1,11,+10,+1000.00%,↑
6,CWE-200,Frequency,4.17%,9.57%,+5.40%,+129.50%,↑
7,CWE-306,Base,9,100,+91,+1011.11%,↑
7,CWE-306,Result,0,3,+3,+100.00%,↑
7,CWE-306,Frequency,0.00%,3.00%,+3.00%,+100.00%,↑
8,CWE-434,Base,4,91,+87,+2175.00%,↑
8,CWE-434,Result,0,3,+3,+100.00%,↑
8,CWE-434,Frequency,0.00%,3.30%,+3.30%,+100.00%,↑
9,CWE-502,Base,13,134,+121,+930.77%,↑
9,CWE-502,Result,1,8,+7,+700.00%,↑
9,CWE-502,Frequency,7.69%,5.97%,-1.72%,-22.37%,↓
10,CWE-522,Base,8,31,+23,+287.50%,↑
10,CWE-522,Result,0,1,+1,+100.00%,↑
10,CWE-522,Frequency,0.00%,3.23%,+3.23%,+100.00%,↑
11,CWE-798,Base,5,30,+25,+500.00%,↑
11,CWE-798,Result,0,0,0,0.00%,=
11,CWE-798,Frequency,0.00%,0.00%,0.00%,0.00%,=
