Row,Combination,Features,Column,C,Java,Delta,Delta %,Direction
0,"Granularity=chunk, Sentence Index=0",2,Result,25,56,+31,+124.00%,↑
0,"Granularity=chunk, Sentence Index=0",2,Frequency,2.22%,4.96%,+2.74%,+123.42%,↑
1,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,Result,1,0,-1,-100.00%,↓
1,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,Frequency,25.00%,0.00%,-25.00%,-100.00%,↓
2,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,Result,0,1,+1,+100.00%,↑
2,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
3,"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,Result,3,11,+8,+266.67%,↑
3,"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,Frequency,1.14%,4.18%,+3.04%,+266.67%,↑
4,"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,Result,9,28,+19,+211.11%,↑
4,"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,Frequency,1.78%,5.53%,+3.75%,+210.67%,↑
5,"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,Result,0,1,+1,+100.00%,↑
5,"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,0.00%,3.45%,+3.45%,+100.00%,↑
6,"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,Result,12,15,+3,+25.00%,↑
6,"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,Frequency,3.72%,4.64%,+0.92%,+24.73%,↑
7,"Granularity=chunk, Sentence Index=1",2,Result,5,6,+1,+20.00%,↑
7,"Granularity=chunk, Sentence Index=1",2,Frequency,2.49%,2.99%,+0.50%,+20.08%,↑
8,"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
8,"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
9,"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,Result,2,1,-1,-50.00%,↓
9,"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,Frequency,3.12%,1.56%,-1.56%,-50.00%,↓
10,"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,2,+2,+100.00%,↑
10,"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,28.57%,+28.57%,+100.00%,↑
11,"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,Result,3,3,0,0.00%,=
11,"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,Frequency,2.86%,2.86%,0.00%,0.00%,=
12,"Granularity=chunk, Sentence Index=2",2,Result,1,4,+3,+300.00%,↑
12,"Granularity=chunk, Sentence Index=2",2,Frequency,0.63%,2.52%,+1.89%,+300.00%,↑
13,"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
13,"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
14,"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,Result,0,2,+2,+100.00%,↑
14,"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,Frequency,0.00%,7.14%,+7.14%,+100.00%,↑
15,"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,Result,0,2,+2,+100.00%,↑
15,"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,Frequency,0.00%,4.65%,+4.65%,+100.00%,↑
16,"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
16,"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
17,"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,Result,1,0,-1,-100.00%,↓
17,"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,Frequency,1.20%,0.00%,-1.20%,-100.00%,↓
18,"Granularity=chunk, Sentence Index=3",2,Result,0,4,+4,+100.00%,↑
18,"Granularity=chunk, Sentence Index=3",2,Frequency,0.00%,5.00%,+5.00%,+100.00%,↑
19,"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
19,"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
20,"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
20,"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
21,"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,Result,0,1,+1,+100.00%,↑
21,"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,Frequency,0.00%,4.55%,+4.55%,+100.00%,↑
22,"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
22,"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
23,"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,Result,0,3,+3,+100.00%,↑
23,"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,Frequency,0.00%,8.11%,+8.11%,+100.00%,↑
24,"Granularity=chunk, Sentence Index=4",2,Result,0,0,0,0.00%,=
24,"Granularity=chunk, Sentence Index=4",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
25,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
25,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
26,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,Result,0,0,0,0.00%,=
26,"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
27,"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,Result,0,0,0,0.00%,=
27,"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
28,"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,Result,0,0,0,0.00%,=
28,"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
29,"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
29,"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
30,"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,Result,0,0,0,0.00%,=
