Row,Combination,Features,Column,C,Python,Delta,Delta %,Direction
0,"Granularity=chunk, Sentence Index=0",2,Result,25,135,+110,+440.00%,↑
0,"Granularity=chunk, Sentence Index=0",2,Frequency,2.22%,11.97%,+9.75%,+439.19%,↑
1,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,Result,1,0,-1,-100.00%,↓
1,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,Frequency,25.00%,0.00%,-25.00%,-100.00%,↓
2,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,Result,0,0,0,0.00%,=
2,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
3,"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,Result,3,28,+25,+833.33%,↑
3,"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,Frequency,1.14%,10.65%,+9.51%,+834.21%,↑
4,"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,Result,9,59,+50,+555.56%,↑
4,"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,Frequency,1.78%,11.66%,+9.88%,+555.06%,↑
5,"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,Result,0,8,+8,+100.00%,↑
5,"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,0.00%,27.59%,+27.59%,+100.00%,↑
6,"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,Result,12,40,+28,+233.33%,↑
6,"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,Frequency,3.72%,12.38%,+8.66%,+232.80%,↑
7,"Granularity=chunk, Sentence Index=1",2,Result,5,49,+44,+880.00%,↑
7,"Granularity=chunk, Sentence Index=1",2,Frequency,2.49%,24.38%,+21.89%,+879.12%,↑
8,"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,Result,0,5,+5,+100.00%,↑
8,"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
9,"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,Result,2,15,+13,+650.00%,↑
9,"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,Frequency,3.12%,23.44%,+20.32%,+651.28%,↑
10,"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,Result,0,1,+1,+100.00%,↑
10,"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,0.00%,14.29%,+14.29%,+100.00%,↑
11,"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,Result,3,28,+25,+833.33%,↑
11,"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,Frequency,2.86%,26.67%,+23.81%,+832.52%,↑
12,"Granularity=chunk, Sentence Index=2",2,Result,1,58,+57,+5700.00%,↑
12,"Granularity=chunk, Sentence Index=2",2,Frequency,0.63%,36.48%,+35.85%,+5690.48%,↑
13,"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
13,"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
14,"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,Result,0,5,+5,+100.00%,↑
14,"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,Frequency,0.00%,17.86%,+17.86%,+100.00%,↑
15,"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,Result,0,17,+17,+100.00%,↑
15,"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,Frequency,0.00%,39.53%,+39.53%,+100.00%,↑
16,"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
16,"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
17,"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,Result,1,36,+35,+3500.00%,↑
17,"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,Frequency,1.20%,43.37%,+42.17%,+3514.17%,↑
18,"Granularity=chunk, Sentence Index=3",2,Result,0,32,+32,+100.00%,↑
18,"Granularity=chunk, Sentence Index=3",2,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
19,"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
19,"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
20,"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,Result,0,10,+10,+100.00%,↑
20,"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,Frequency,0.00%,52.63%,+52.63%,+100.00%,↑
21,"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,Result,0,11,+11,+100.00%,↑
21,"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
22,"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
22,"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
23,"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,Result,0,11,+11,+100.00%,↑
23,"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,Frequency,0.00%,29.73%,+29.73%,+100.00%,↑
