Row,Combination,Features,Column,Java,Python,Delta,Delta %,Direction
0,"Granularity=chunk, Sentence Index=0",2,Result,56,135,+79,+141.07%,↑
0,"Granularity=chunk, Sentence Index=0",2,Frequency,4.96%,11.97%,+7.01%,+141.33%,↑
1,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
1,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
2,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,Result,1,0,-1,-100.00%,↓
2,"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,Frequency,33.33%,0.00%,-33.33%,-100.00%,↓
3,"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,Result,11,28,+17,+154.55%,↑
3,"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,Frequency,4.18%,10.65%,+6.47%,+154.78%,↑
4,"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,Result,28,59,+31,+110.71%,↑
4,"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,Frequency,5.53%,11.66%,+6.13%,+110.85%,↑
5,"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,Result,1,8,+7,+700.00%,↑
5,"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,Frequency,3.45%,27.59%,+24.14%,+699.71%,↑
6,"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,Result,15,40,+25,+166.67%,↑
6,"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,Frequency,4.64%,12.38%,+7.74%,+166.81%,↑
7,"Granularity=chunk, Sentence Index=1",2,Result,6,49,+43,+716.67%,↑
7,"Granularity=chunk, Sentence Index=1",2,Frequency,2.99%,24.38%,+21.39%,+715.38%,↑
8,"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,Result,0,5,+5,+100.00%,↑
8,"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
9,"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,Result,1,15,+14,+1400.00%,↑
9,"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,Frequency,1.56%,23.44%,+21.88%,+1402.56%,↑
10,"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,Result,2,1,-1,-50.00%,↓
10,"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,Frequency,28.57%,14.29%,-14.28%,-49.98%,↓
11,"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,Result,3,28,+25,+833.33%,↑
11,"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,Frequency,2.86%,26.67%,+23.81%,+832.52%,↑
12,"Granularity=chunk, Sentence Index=2",2,Result,4,58,+54,+1350.00%,↑
12,"Granularity=chunk, Sentence Index=2",2,Frequency,2.52%,36.48%,+33.96%,+1347.62%,↑
13,"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,Result,0,0,0,0.00%,=
13,"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
14,"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,Result,2,5,+3,+150.00%,↑
14,"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,Frequency,7.14%,17.86%,+10.72%,+150.14%,↑
15,"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,Result,2,17,+15,+750.00%,↑
15,"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,Frequency,4.65%,39.53%,+34.88%,+750.11%,↑
16,"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,Result,0,0,0,0.00%,=
16,"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,Frequency,0.00%,0.00%,0.00%,0.00%,=
17,"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,Result,0,36,+36,+100.00%,↑
17,"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,Frequency,0.00%,43.37%,+43.37%,+100.00%,↑
18,"Granularity=chunk, Sentence Index=3",2,Result,4,32,+28,+700.00%,↑
18,"Granularity=chunk, Sentence Index=3",2,Frequency,5.00%,40.00%,+35.00%,+700.00%,↑
