Row,CWE,Column,C,Java,Delta,Delta %,Direction
0,CWE-20,Result,1,26,+25,+2500.00%,↑
0,CWE-20,Frequency,0.52%,13.40%,+12.88%,+2476.92%,↑
1,CWE-22,Result,2,15,+13,+650.00%,↑
1,CWE-22,Frequency,1.32%,9.93%,+8.61%,+652.27%,↑
2,CWE-78,Result,4,48,+44,+1100.00%,↑
2,CWE-78,Frequency,1.34%,16.11%,+14.77%,+1102.24%,↑
3,CWE-79,Result,1,17,+16,+1600.00%,↑
3,CWE-79,Frequency,0.30%,5.09%,+4.79%,+1596.67%,↑
4,CWE-89,Result,6,14,+8,+133.33%,↑
4,CWE-89,Frequency,1.99%,4.65%,+2.66%,+133.67%,↑
5,CWE-119,Result,0,0,0,0.00%,=
5,CWE-119,Frequency,0.00%,0.00%,0.00%,0.00%,=
6,CWE-125,Result,0,0,0,0.00%,=
6,CWE-125,Frequency,0.00%,0.00%,0.00%,0.00%,=
7,CWE-190,Result,0,12,+12,+100.00%,↑
7,CWE-190,Frequency,0.00%,6.03%,+6.03%,+100.00%,↑
8,CWE-200,Result,7,24,+17,+242.86%,↑
8,CWE-200,Frequency,1.98%,6.78%,+4.80%,+242.42%,↑
9,CWE-306,Result,5,9,+4,+80.00%,↑
9,CWE-306,Frequency,1.77%,3.18%,+1.41%,+79.66%,↑
10,CWE-416,Result,0,0,0,0.00%,=
10,CWE-416,Frequency,0.00%,0.00%,0.00%,0.00%,=
11,CWE-434,Result,2,4,+2,+100.00%,↑
11,CWE-434,Frequency,1.10%,2.21%,+1.11%,+100.91%,↑
12,CWE-476,Result,8,0,-8,-100.00%,↓
12,CWE-476,Frequency,3.62%,0.00%,-3.62%,-100.00%,↓
13,CWE-502,Result,0,13,+13,+100.00%,↑
13,CWE-502,Frequency,0.00%,4.48%,+4.48%,+100.00%,↑
14,CWE-522,Result,26,8,-18,-69.23%,↓
14,CWE-522,Frequency,11.50%,3.54%,-7.96%,-69.22%,↓
15,CWE-732,Result,29,0,-29,-100.00%,↓
15,CWE-732,Frequency,13.94%,0.00%,-13.94%,-100.00%,↓
16,CWE-787,Result,1,0,-1,-100.00%,↓
16,CWE-787,Frequency,0.43%,0.00%,-0.43%,-100.00%,↓
17,CWE-798,Result,0,5,+5,+100.00%,↑
17,CWE-798,Frequency,0.00%,2.46%,+2.46%,+100.00%,↑
