Row,CWE,Column,C,Python,Delta,Delta %,Direction
0,CWE-20,Result,1,92,+91,+9100.00%,↑
0,CWE-20,Frequency,0.52%,47.42%,+46.90%,+9019.23%,↑
1,CWE-22,Result,2,34,+32,+1600.00%,↑
1,CWE-22,Frequency,1.32%,22.52%,+21.20%,+1606.06%,↑
2,CWE-78,Result,4,16,+12,+300.00%,↑
2,CWE-78,Frequency,1.34%,5.37%,+4.03%,+300.75%,↑
3,CWE-79,Result,1,14,+13,+1300.00%,↑
3,CWE-79,Frequency,0.30%,4.19%,+3.89%,+1296.67%,↑
4,CWE-89,Result,6,47,+41,+683.33%,↑
4,CWE-89,Frequency,1.99%,15.61%,+13.62%,+684.42%,↑
5,CWE-119,Result,0,0,0,0.00%,=
5,CWE-119,Frequency,0.00%,0.00%,0.00%,0.00%,=
6,CWE-125,Result,0,0,0,0.00%,=
6,CWE-125,Frequency,0.00%,0.00%,0.00%,0.00%,=
7,CWE-190,Result,0,0,0,0.00%,=
7,CWE-190,Frequency,0.00%,0.00%,0.00%,0.00%,=
8,CWE-200,Result,7,123,+116,+1657.14%,↑
8,CWE-200,Frequency,1.98%,34.75%,+32.77%,+1655.05%,↑
9,CWE-306,Result,5,115,+110,+2200.00%,↑
9,CWE-306,Frequency,1.77%,40.64%,+38.87%,+2196.05%,↑
10,CWE-416,Result,0,0,0,0.00%,=
10,CWE-416,Frequency,0.00%,0.00%,0.00%,0.00%,=
11,CWE-434,Result,2,100,+98,+4900.00%,↑
11,CWE-434,Frequency,1.10%,55.25%,+54.15%,+4922.73%,↑
12,CWE-476,Result,8,0,-8,-100.00%,↓
12,CWE-476,Frequency,3.62%,0.00%,-3.62%,-100.00%,↓
13,CWE-502,Result,0,91,+91,+100.00%,↑
13,CWE-502,Frequency,0.00%,31.38%,+31.38%,+100.00%,↑
14,CWE-522,Result,26,134,+108,+415.38%,↑
14,CWE-522,Frequency,11.50%,59.29%,+47.79%,+415.57%,↑
15,CWE-732,Result,29,31,+2,+6.90%,↑
15,CWE-732,Frequency,13.94%,14.90%,+0.96%,+6.89%,↑
16,CWE-787,Result,1,0,-1,-100.00%,↓
16,CWE-787,Frequency,0.43%,0.00%,-0.43%,-100.00%,↓
17,CWE-798,Result,0,30,+30,+100.00%,↑
17,CWE-798,Frequency,0.00%,14.78%,+14.78%,+100.00%,↑
