Row,CWE,Column,Java,Python,Delta,Delta %,Direction
0,CWE-20,Result,26,92,+66,+253.85%,↑
0,CWE-20,Frequency,13.40%,47.42%,+34.02%,+253.88%,↑
1,CWE-22,Result,15,34,+19,+126.67%,↑
1,CWE-22,Frequency,9.93%,22.52%,+12.59%,+126.79%,↑
2,CWE-78,Result,48,16,-32,-66.67%,↓
2,CWE-78,Frequency,16.11%,5.37%,-10.74%,-66.67%,↓
3,CWE-79,Result,17,14,-3,-17.65%,↓
3,CWE-79,Frequency,5.09%,4.19%,-0.90%,-17.68%,↓
4,CWE-89,Result,14,47,+33,+235.71%,↑
4,CWE-89,Frequency,4.65%,15.61%,+10.96%,+235.70%,↑
5,CWE-119,Result,0,0,0,0.00%,=
5,CWE-119,Frequency,0.00%,0.00%,0.00%,0.00%,=
6,CWE-125,Result,0,0,0,0.00%,=
6,CWE-125,Frequency,0.00%,0.00%,0.00%,0.00%,=
7,CWE-190,Result,12,0,-12,-100.00%,↓
7,CWE-190,Frequency,6.03%,0.00%,-6.03%,-100.00%,↓
8,CWE-200,Result,24,123,+99,+412.50%,↑
8,CWE-200,Frequency,6.78%,34.75%,+27.97%,+412.54%,↑
9,CWE-306,Result,9,115,+106,+1177.78%,↑
9,CWE-306,Frequency,3.18%,40.64%,+37.46%,+1177.99%,↑
10,CWE-416,Result,0,0,0,0.00%,=
10,CWE-416,Frequency,0.00%,0.00%,0.00%,0.00%,=
11,CWE-434,Result,4,100,+96,+2400.00%,↑
11,CWE-434,Frequency,2.21%,55.25%,+53.04%,+2400.00%,↑
12,CWE-476,Result,0,0,0,0.00%,=
12,CWE-476,Frequency,0.00%,0.00%,0.00%,0.00%,=
13,CWE-502,Result,13,91,+78,+600.00%,↑
13,CWE-502,Frequency,4.48%,31.38%,+26.90%,+600.45%,↑
14,CWE-522,Result,8,134,+126,+1575.00%,↑
14,CWE-522,Frequency,3.54%,59.29%,+55.75%,+1574.86%,↑
15,CWE-732,Result,0,31,+31,+100.00%,↑
15,CWE-732,Frequency,0.00%,14.90%,+14.90%,+100.00%,↑
16,CWE-787,Result,0,0,0,0.00%,=
16,CWE-787,Frequency,0.00%,0.00%,0.00%,0.00%,=
17,CWE-798,Result,5,30,+25,+500.00%,↑
17,CWE-798,Frequency,2.46%,14.78%,+12.32%,+500.81%,↑
