Row,Category,Value,Column,C,Java,Delta,Delta %,Direction
0,Syntagm Type,ADJP,Result,2,1,-1,-50.00%,↓
0,Syntagm Type,ADJP,Frequency,4.00%,2.00%,-2.00%,-50.00%,↓
1,Syntagm Type,ADVP,Result,3,3,0,0.00%,=
1,Syntagm Type,ADVP,Frequency,5.56%,5.56%,0.00%,0.00%,=
2,Syntagm Type,CONJP,Result,0,0,0,0.00%,=
2,Syntagm Type,CONJP,Frequency,0.00%,0.00%,0.00%,0.00%,=
3,Syntagm Type,INTJ,Result,0,0,0,0.00%,=
3,Syntagm Type,INTJ,Frequency,0.00%,0.00%,0.00%,0.00%,=
4,Syntagm Type,NP,Result,53,111,+58,+109.43%,↑
4,Syntagm Type,NP,Frequency,2.17%,4.54%,+2.37%,+109.22%,↑
5,Syntagm Type,PP,Result,11,32,+21,+190.91%,↑
5,Syntagm Type,PP,Frequency,1.67%,4.87%,+3.20%,+191.62%,↑
6,Syntagm Type,PRT,Result,0,1,+1,+100.00%,↑
6,Syntagm Type,PRT,Frequency,0.00%,4.35%,+4.35%,+100.00%,↑
7,Syntagm Type,QP,Result,0,0,0,0.00%,=
7,Syntagm Type,QP,Frequency,0.00%,0.00%,0.00%,0.00%,=
8,Syntagm Type,SBAR,Result,2,15,+13,+650.00%,↑
8,Syntagm Type,SBAR,Frequency,0.70%,5.23%,+4.53%,+647.14%,↑
9,Syntagm Type,VP,Result,17,23,+6,+35.29%,↑
9,Syntagm Type,VP,Frequency,2.51%,3.40%,+0.89%,+35.46%,↑
10,Syntagm Type,WHADVP,Result,0,2,+2,+100.00%,↑
10,Syntagm Type,WHADVP,Frequency,0.00%,7.41%,+7.41%,+100.00%,↑
11,Syntagm Type,WHNP,Result,4,7,+3,+75.00%,↑
11,Syntagm Type,WHNP,Frequency,4.40%,7.69%,+3.29%,+74.77%,↑
12,Granularity,chunk,Result,31,70,+39,+125.81%,↑
12,Granularity,chunk,Frequency,1.92%,4.34%,+2.42%,+126.04%,↑
13,Granularity,clause,Result,1,0,-1,-100.00%,↓
13,Granularity,clause,Frequency,1.39%,0.00%,-1.39%,-100.00%,↓
14,Granularity,minimal,Result,60,125,+65,+108.33%,↑
14,Granularity,minimal,Frequency,2.28%,4.74%,+2.46%,+107.89%,↑
15,Sentence Index,0,Result,63,142,+79,+125.40%,↑
15,Sentence Index,0,Frequency,2.08%,4.69%,+2.61%,+125.48%,↑
16,Sentence Index,1,Result,20,24,+4,+20.00%,↑
16,Sentence Index,1,Frequency,3.68%,4.42%,+0.74%,+20.11%,↑
17,Sentence Index,2,Result,5,18,+13,+260.00%,↑
17,Sentence Index,2,Frequency,1.19%,4.29%,+3.10%,+260.50%,↑
18,Sentence Index,3,Result,4,5,+1,+25.00%,↑
18,Sentence Index,3,Frequency,1.93%,2.42%,+0.49%,+25.39%,↑
19,Sentence Index,4,Result,0,1,+1,+100.00%,↑
19,Sentence Index,4,Frequency,0.00%,1.52%,+1.52%,+100.00%,↑
20,Sentence Index,5,Result,0,0,0,0.00%,=
20,Sentence Index,5,Frequency,0.00%,0.00%,0.00%,0.00%,=
21,Sentence Index,6,Result,0,0,0,0.00%,=
21,Sentence Index,6,Frequency,0.00%,0.00%,0.00%,0.00%,=
22,Sentence Index,7,Result,0,0,0,0.00%,=
22,Sentence Index,7,Frequency,0.00%,0.00%,0.00%,0.00%,=
23,Sentence Index,8,Result,0,0,0,0.00%,=
23,Sentence Index,8,Frequency,0.00%,0.00%,0.00%,0.00%,=
24,Sentence Index,9,Result,0,5,+5,+100.00%,↑
24,Sentence Index,9,Frequency,0.00%,166.67%,+166.67%,+100.00%,↑
