Row,Category,Value,Column,Java,Python,Delta,Delta %,Direction
0,Syntagm Type,ADJP,Result,1,7,+6,+600.00%,↑
0,Syntagm Type,ADJP,Frequency,2.00%,14.00%,+12.00%,+600.00%,↑
1,Syntagm Type,ADVP,Result,3,16,+13,+433.33%,↑
1,Syntagm Type,ADVP,Frequency,5.56%,29.63%,+24.07%,+432.91%,↑
2,Syntagm Type,CONJP,Result,0,1,+1,+100.00%,↑
2,Syntagm Type,CONJP,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
3,Syntagm Type,INTJ,Result,0,0,0,0.00%,=
3,Syntagm Type,INTJ,Frequency,0.00%,0.00%,0.00%,0.00%,=
4,Syntagm Type,NP,Result,111,467,+356,+320.72%,↑
4,Syntagm Type,NP,Frequency,4.54%,19.09%,+14.55%,+320.48%,↑
5,Syntagm Type,PP,Result,32,106,+74,+231.25%,↑
5,Syntagm Type,PP,Frequency,4.87%,16.13%,+11.26%,+231.21%,↑
6,Syntagm Type,PRT,Result,1,7,+6,+600.00%,↑
6,Syntagm Type,PRT,Frequency,4.35%,30.43%,+26.08%,+599.54%,↑
7,Syntagm Type,QP,Result,0,0,0,0.00%,=
7,Syntagm Type,QP,Frequency,0.00%,0.00%,0.00%,0.00%,=
8,Syntagm Type,SBAR,Result,15,51,+36,+240.00%,↑
8,Syntagm Type,SBAR,Frequency,5.23%,17.77%,+12.54%,+239.77%,↑
9,Syntagm Type,VP,Result,23,144,+121,+526.09%,↑
9,Syntagm Type,VP,Frequency,3.40%,21.30%,+17.90%,+526.47%,↑
10,Syntagm Type,WHADVP,Result,2,8,+6,+300.00%,↑
10,Syntagm Type,WHADVP,Frequency,7.41%,29.63%,+22.22%,+299.87%,↑
11,Syntagm Type,WHNP,Result,7,20,+13,+185.71%,↑
11,Syntagm Type,WHNP,Frequency,7.69%,21.98%,+14.29%,+185.83%,↑
12,Granularity,chunk,Result,70,291,+221,+315.71%,↑
12,Granularity,chunk,Frequency,4.34%,18.04%,+13.70%,+315.67%,↑
13,Granularity,clause,Result,0,10,+10,+100.00%,↑
13,Granularity,clause,Frequency,0.00%,13.89%,+13.89%,+100.00%,↑
14,Granularity,minimal,Result,125,526,+401,+320.80%,↑
14,Granularity,minimal,Frequency,4.74%,19.96%,+15.22%,+321.10%,↑
15,Sentence Index,0,Result,142,403,+261,+183.80%,↑
15,Sentence Index,0,Frequency,4.69%,13.30%,+8.61%,+183.58%,↑
16,Sentence Index,1,Result,24,136,+112,+466.67%,↑
16,Sentence Index,1,Frequency,4.42%,25.05%,+20.63%,+466.74%,↑
17,Sentence Index,2,Result,18,154,+136,+755.56%,↑
17,Sentence Index,2,Frequency,4.29%,36.67%,+32.38%,+754.78%,↑
18,Sentence Index,3,Result,5,87,+82,+1640.00%,↑
18,Sentence Index,3,Frequency,2.42%,42.03%,+39.61%,+1636.78%,↑
19,Sentence Index,4,Result,1,33,+32,+3200.00%,↑
19,Sentence Index,4,Frequency,1.52%,50.00%,+48.48%,+3189.47%,↑
20,Sentence Index,5,Result,0,8,+8,+100.00%,↑
20,Sentence Index,5,Frequency,0.00%,36.36%,+36.36%,+100.00%,↑
21,Sentence Index,6,Result,0,5,+5,+100.00%,↑
21,Sentence Index,6,Frequency,0.00%,27.78%,+27.78%,+100.00%,↑
22,Sentence Index,7,Result,0,0,0,0.00%,=
22,Sentence Index,7,Frequency,0.00%,0.00%,0.00%,0.00%,=
23,Sentence Index,8,Result,0,1,+1,+100.00%,↑
23,Sentence Index,8,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
24,Sentence Index,9,Result,5,0,-5,-100.00%,↓
24,Sentence Index,9,Frequency,166.67%,0.00%,-166.67%,-100.00%,↓
