Combination,Num Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,1128,23,2.04%
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0,ADJP,4,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0,ADVP,3,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,263,1,0.38%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,506,8,1.58%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,29,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,323,14,4.33%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,201,8,3.98%
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1,NP,25,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,64,4,6.25%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,7,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,105,4,3.81%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,159,3,1.89%
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2,ADJP,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,28,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,43,1,2.33%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,4,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,83,2,2.41%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,80,3,3.75%
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3,ADJP,1,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,19,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3,PP,22,2,9.09%
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,37,1,2.70%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,28,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4,ADJP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4,ADVP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4,NP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,6,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,18,0,0.00%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,7,0,0.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5,VP,6,0,0.00%
"Granularity=chunk, Sentence Index=6",2,chunk,6,,6,0,0.00%
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6,VP,5,0,0.00%
"Granularity=chunk, Sentence Index=7",2,chunk,7,,2,0,0.00%
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7,VP,2,0,0.00%
"Granularity=chunk, Sentence Index=8",2,chunk,8,,1,0,0.00%
