Categoria,Valore,Base,Result,Percentuale
Type,ADJP,50,2,4.00%
Type,ADVP,54,0,0.00%
Type,CONJP,1,0,0.00%
Type,INTJ,2,0,0.00%
Type,NP,2446,40,1.64%
Type,PP,657,4,0.61%
Type,PRT,23,0,0.00%
Type,QP,6,0,0.00%
Type,SBAR,287,6,2.09%
Type,VP,676,7,1.04%
Type,WHADVP,27,0,0.00%
Type,WHNP,91,0,0.00%
Granularity,chunk,1613,15,0.93%
Granularity,clause,72,2,2.78%
Granularity,minimal,2635,42,1.59%
Sentence Index,0,3030,51,1.68%
Sentence Index,1,543,2,0.37%
Sentence Index,2,420,4,0.95%
Sentence Index,3,207,2,0.97%
Sentence Index,4,66,0,0.00%
Sentence Index,5,22,0,0.00%
Sentence Index,6,18,0,0.00%
Sentence Index,7,8,0,0.00%
Sentence Index,8,3,0,0.00%
Sentence Index,9,3,0,0.00%
