Category,Value,Base,Result,Frequency
Type,ADJP,50,7,14.00%
Type,ADVP,54,16,29.63%
Type,CONJP,1,1,100.00%
Type,INTJ,2,0,0.00%
Type,NP,2446,468,19.13%
Type,PP,657,105,15.98%
Type,PRT,23,7,30.43%
Type,QP,6,0,0.00%
Type,SBAR,287,51,17.77%
Type,VP,676,144,21.30%
Type,WHADVP,27,8,29.63%
Type,WHNP,91,20,21.98%
Granularity,chunk,1613,290,17.98%
Granularity,clause,72,10,13.89%
Granularity,minimal,2635,527,20.00%
Sentence Index,0,3030,402,13.27%
Sentence Index,1,543,137,25.23%
Sentence Index,2,420,154,36.67%
Sentence Index,3,207,87,42.03%
Sentence Index,4,66,33,50.00%
Sentence Index,5,22,8,36.36%
Sentence Index,6,18,5,27.78%
Sentence Index,7,8,0,0.00%
Sentence Index,8,3,1,33.33%
Sentence Index,9,3,0,0.00%
