Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,1128,87,7.71%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0.0,ADJP,4,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0.0,ADVP,3,1,33.33%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,263,18,6.84%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,506,42,8.30%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,29,2,6.90%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,323,24,7.43%,True
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,201,2,1.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1.0,NP,25,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,64,1,1.56%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,7,1,14.29%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,105,0,0.00%,False
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,159,9,5.66%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,28,1,3.57%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,43,3,6.98%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,4,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,83,5,6.02%,True
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,80,4,5.00%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3.0,ADJP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,19,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3.0,PP,22,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,37,3,8.11%,True
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,28,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4.0,ADVP,1,0,0.00%,False
