Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,1128,388,34.40%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0.0,ADJP,4,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0.0,ADVP,3,2,66.67%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,263,84,31.94%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,506,168,33.20%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,29,17,58.62%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,323,117,36.22%,True
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,201,109,54.23%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1.0,NP,25,12,48.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,64,31,48.44%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,7,6,85.71%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,105,60,57.14%,True
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,159,118,74.21%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2.0,ADJP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,28,18,64.29%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,43,32,74.42%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,4,3,75.00%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,83,64,77.11%,True
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,80,57,71.25%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3.0,ADJP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,19,14,73.68%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3.0,PP,22,13,59.09%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3.0,SBAR,1,1,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,37,28,75.68%,True
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,28,24,85.71%,True
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4.0,ADJP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4.0,ADVP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4.0,NP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,6,6,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4.0,SBAR,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,18,14,77.78%,True
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,7,7,100.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5.0,VP,6,6,100.00%,False
"Granularity=chunk, Sentence Index=6",2,chunk,6.0,,6,6,100.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6.0,VP,5,5,100.00%,False
"Granularity=chunk, Sentence Index=7",2,chunk,7.0,,2,2,100.00%,False
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7.0,VP,2,2,100.00%,False
"Granularity=chunk, Sentence Index=8",2,chunk,8.0,,1,1,100.00%,False
"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,chunk,8.0,VP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=9",2,chunk,9.0,,1,1,100.00%,False
"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,chunk,9.0,VP,1,1,100.00%,False
"Granularity=chunk, Syntagm Type=ADJP",2,chunk,,ADJP,7,3,42.86%,True
"Granularity=chunk, Syntagm Type=ADVP",2,chunk,,ADVP,4,3,75.00%,True
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,336,129,38.39%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,643,252,39.19%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,42,28,66.67%,True
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,581,298,51.29%,True
"Granularity=clause, Sentence Index=0",2,clause,0.0,,55,28,50.91%,True
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,55,28,50.91%,True
"Granularity=clause, Sentence Index=1",2,clause,1.0,,9,8,88.89%,True
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,9,8,88.89%,True
"Granularity=clause, Sentence Index=2",2,clause,2.0,,7,4,57.14%,True
"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,clause,2.0,SBAR,7,4,57.14%,True
"Granularity=clause, Sentence Index=3",2,clause,3.0,,1,1,100.00%,False
"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,clause,3.0,SBAR,1,1,100.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,72,41,56.94%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,1847,678,36.71%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,19,5,26.32%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,28,2,7.14%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,minimal,0.0,CONJP,1,1,100.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,minimal,0.0,INTJ,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,1511,553,36.60%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,10,4,40.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,15,4,26.67%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,5,1,20.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0.0,SBAR,98,27,27.55%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0.0,VP,63,24,38.10%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0.0,WHADVP,19,14,73.68%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0.0,WHNP,76,43,56.58%,True
"Granularity=minimal, Sentence Index=1",2,minimal,1.0,,333,181,54.35%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1.0,ADJP,11,6,54.55%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,minimal,1.0,ADVP,8,4,50.00%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,258,142,55.04%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,minimal,1.0,PP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,minimal,1.0,PRT,6,3,50.00%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,25,10,40.00%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,minimal,1.0,VP,13,7,53.85%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,minimal,1.0,WHADVP,2,2,100.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,minimal,1.0,WHNP,8,6,75.00%,True
"Granularity=minimal, Sentence Index=2",2,minimal,2.0,,254,182,71.65%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,minimal,2.0,ADJP,7,7,100.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2.0,ADVP,7,5,71.43%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2.0,NP,189,133,70.37%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,minimal,2.0,PP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,minimal,2.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,minimal,2.0,QP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2.0,SBAR,27,23,85.19%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2.0,VP,10,8,80.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2.0,WHADVP,5,4,80.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2.0,WHNP,5,1,20.00%,False
"Granularity=minimal, Sentence Index=3",2,minimal,3.0,,126,90,71.43%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,minimal,3.0,ADJP,3,3,100.00%,False
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADVP",3,minimal,3.0,ADVP,5,3,60.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3.0,NP,95,66,69.47%,True
