Category,Value,Base,Result,Frequency,Evaluable
Syntagm Type,ADJP,50,27,54.00%,True
Syntagm Type,ADVP,54,18,33.33%,True
Syntagm Type,CONJP,1,1,100.00%,False
Syntagm Type,INTJ,2,0,0.00%,False
Syntagm Type,NP,2446,1074,43.91%,True
Syntagm Type,PP,657,258,39.27%,True
Syntagm Type,PRT,23,7,30.43%,False
Syntagm Type,QP,6,1,16.67%,False
Syntagm Type,SBAR,287,148,51.57%,True
Syntagm Type,VP,676,344,50.89%,True
Syntagm Type,WHADVP,27,21,77.78%,True
Syntagm Type,WHNP,91,52,57.14%,True
Granularity,chunk,1613,713,44.20%,True
Granularity,clause,72,41,56.94%,True
Granularity,minimal,2635,1197,45.43%,True
Sentence Index,0,3030,1094,36.11%,True
Sentence Index,1,543,298,54.88%,True
Sentence Index,2,420,304,72.38%,True
Sentence Index,3,207,148,71.50%,True
Sentence Index,4,66,53,80.30%,True
Sentence Index,5,22,22,100.00%,False
Sentence Index,6,18,18,100.00%,False
Sentence Index,7,8,8,100.00%,False
Sentence Index,8,3,3,100.00%,False
Sentence Index,9,3,3,100.00%,False
