Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,1128,4,0.35%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0.0,ADJP,4,1,25.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0.0,ADVP,3,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,263,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,506,3,0.59%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,29,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,323,0,0.00%,False
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,201,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1.0,NP,25,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,64,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,7,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,105,0,0.00%,False
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,159,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,28,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,43,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,4,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,83,0,0.00%,False
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,80,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,19,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3.0,PP,22,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,37,0,0.00%,False
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,28,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4.0,ADVP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4.0,NP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,6,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,18,0,0.00%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,7,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5.0,VP,6,0,0.00%,False
"Granularity=chunk, Sentence Index=6",2,chunk,6.0,,6,0,0.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6.0,VP,5,0,0.00%,False
"Granularity=chunk, Sentence Index=7",2,chunk,7.0,,2,0,0.00%,False
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7.0,VP,2,0,0.00%,False
"Granularity=chunk, Sentence Index=8",2,chunk,8.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,chunk,8.0,VP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=9",2,chunk,9.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,chunk,9.0,VP,1,0,0.00%,False
"Granularity=chunk, Syntagm Type=ADJP",2,chunk,,ADJP,7,1,14.29%,False
"Granularity=chunk, Syntagm Type=ADVP",2,chunk,,ADVP,4,0,0.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,336,0,0.00%,False
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,643,3,0.47%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,42,0,0.00%,False
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,581,0,0.00%,False
"Granularity=clause, Sentence Index=0",2,clause,0.0,,55,1,1.82%,True
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,55,1,1.82%,True
"Granularity=clause, Sentence Index=1",2,clause,1.0,,9,0,0.00%,False
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,9,0,0.00%,False
"Granularity=clause, Sentence Index=2",2,clause,2.0,,7,0,0.00%,False
"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,clause,2.0,SBAR,7,0,0.00%,False
"Granularity=clause, Sentence Index=3",2,clause,3.0,,1,0,0.00%,False
"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,clause,3.0,SBAR,1,0,0.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,72,1,1.39%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,1847,8,0.43%,True
