Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,1128,107,9.49%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0.0,ADJP,4,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0.0,ADVP,3,1,33.33%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,263,22,8.37%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,506,57,11.26%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,29,1,3.45%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,323,26,8.05%,True
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,201,9,4.48%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1.0,NP,25,1,4.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,64,3,4.69%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,7,1,14.29%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,105,4,3.81%,True
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,159,15,9.43%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,28,1,3.57%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,43,4,9.30%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,4,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,83,10,12.05%,True
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,80,6,7.50%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3.0,ADJP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,19,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3.0,PP,22,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,37,5,13.51%,True
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,28,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4.0,ADJP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4.0,ADVP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=NP",3,chunk,4.0,NP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,6,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=SBAR",3,chunk,4.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,18,0,0.00%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,7,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=VP",3,chunk,5.0,VP,6,0,0.00%,False
"Granularity=chunk, Sentence Index=6",2,chunk,6.0,,6,0,0.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=PP",3,chunk,6.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=6, Syntagm Type=VP",3,chunk,6.0,VP,5,0,0.00%,False
"Granularity=chunk, Sentence Index=7",2,chunk,7.0,,2,1,50.00%,False
"Granularity=chunk, Sentence Index=7, Syntagm Type=VP",3,chunk,7.0,VP,2,1,50.00%,False
"Granularity=chunk, Sentence Index=8",2,chunk,8.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=8, Syntagm Type=VP",3,chunk,8.0,VP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=9",2,chunk,9.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=9, Syntagm Type=VP",3,chunk,9.0,VP,1,0,0.00%,False
"Granularity=chunk, Syntagm Type=ADJP",2,chunk,,ADJP,7,1,14.29%,True
"Granularity=chunk, Syntagm Type=ADVP",2,chunk,,ADVP,4,1,25.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,336,24,7.14%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,643,64,9.95%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,42,2,4.76%,True
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,581,46,7.92%,True
"Granularity=clause, Sentence Index=0",2,clause,0.0,,55,7,12.73%,True
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,55,7,12.73%,True
"Granularity=clause, Sentence Index=1",2,clause,1.0,,9,1,11.11%,True
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,9,1,11.11%,True
"Granularity=clause, Sentence Index=2",2,clause,2.0,,7,1,14.29%,True
"Granularity=clause, Sentence Index=2, Syntagm Type=SBAR",3,clause,2.0,SBAR,7,1,14.29%,True
"Granularity=clause, Sentence Index=3",2,clause,3.0,,1,0,0.00%,False
"Granularity=clause, Sentence Index=3, Syntagm Type=SBAR",3,clause,3.0,SBAR,1,0,0.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,72,9,12.50%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,1847,201,10.88%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,19,1,5.26%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,28,1,3.57%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=CONJP",3,minimal,0.0,CONJP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=INTJ",3,minimal,0.0,INTJ,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,1511,164,10.85%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,10,2,20.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,15,1,6.67%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,5,1,20.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0.0,SBAR,98,11,11.22%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0.0,VP,63,5,7.94%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0.0,WHADVP,19,3,15.79%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0.0,WHNP,76,12,15.79%,True
"Granularity=minimal, Sentence Index=1",2,minimal,1.0,,333,21,6.31%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1.0,ADJP,11,1,9.09%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADVP",3,minimal,1.0,ADVP,8,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,258,18,6.98%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=PP",3,minimal,1.0,PP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=PRT",3,minimal,1.0,PRT,6,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,25,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=VP",3,minimal,1.0,VP,13,1,7.69%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHADVP",3,minimal,1.0,WHADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=WHNP",3,minimal,1.0,WHNP,8,1,12.50%,True
"Granularity=minimal, Sentence Index=2",2,minimal,2.0,,254,17,6.69%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADJP",3,minimal,2.0,ADJP,7,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2.0,ADVP,7,1,14.29%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2.0,NP,189,13,6.88%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=PP",3,minimal,2.0,PP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=PRT",3,minimal,2.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=QP",3,minimal,2.0,QP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2.0,SBAR,27,2,7.41%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2.0,VP,10,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2.0,WHADVP,5,1,20.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2.0,WHNP,5,0,0.00%,False
"Granularity=minimal, Sentence Index=3",2,minimal,3.0,,126,9,7.14%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=ADJP",3,minimal,3.0,ADJP,3,1,33.33%,False
