Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,1128,563,49.91%
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADJP",3,chunk,0,ADJP,4,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=ADVP",3,chunk,0,ADVP,3,3,100.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,263,124,47.15%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,506,244,48.22%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,29,23,79.31%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,323,169,52.32%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,201,162,80.60%
"Granularity=chunk, Sentence Index=1, Syntagm Type=NP",3,chunk,1,NP,25,20,80.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,64,54,84.38%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,7,9,128.57%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,105,79,75.24%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,159,152,95.60%
"Granularity=chunk, Sentence Index=2, Syntagm Type=ADJP",3,chunk,2,ADJP,1,1,100.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,28,25,89.29%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,43,43,100.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,4,3,75.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,83,80,96.39%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,80,74,92.50%
"Granularity=chunk, Sentence Index=3, Syntagm Type=ADJP",3,chunk,3,ADJP,1,2,200.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,19,14,73.68%
"Granularity=chunk, Sentence Index=3, Syntagm Type=PP",3,chunk,3,PP,22,15,68.18%
"Granularity=chunk, Sentence Index=3, Syntagm Type=SBAR",3,chunk,3,SBAR,1,1,100.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,37,42,113.51%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,28,27,96.43%
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADJP",3,chunk,4,ADJP,1,1,100.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=ADVP",3,chunk,4,ADVP,1,1,100.00%
