Category,Value,Base,Result,Frequency,Evaluable
Syntagm Type,ADJP,50,4,8.00%,True
Syntagm Type,ADVP,54,3,5.56%,True
Syntagm Type,CONJP,1,0,0.00%,False
Syntagm Type,INTJ,2,0,0.00%,False
Syntagm Type,NP,2446,227,9.28%,True
Syntagm Type,PP,657,66,10.05%,True
Syntagm Type,PRT,23,1,4.35%,True
Syntagm Type,QP,6,1,16.67%,False
Syntagm Type,SBAR,287,27,9.41%,True
Syntagm Type,VP,676,52,7.69%,True
Syntagm Type,WHADVP,27,4,14.81%,True
Syntagm Type,WHNP,91,13,14.29%,True
Granularity,chunk,1613,138,8.56%,True
Granularity,clause,72,9,12.50%,True
Granularity,minimal,2635,251,9.53%,True
Sentence Index,0,3030,315,10.40%,True
Sentence Index,1,543,31,5.71%,True
Sentence Index,2,420,33,7.86%,True
Sentence Index,3,207,15,7.25%,True
Sentence Index,4,66,1,1.52%,True
Sentence Index,5,22,0,0.00%,False
Sentence Index,6,18,0,0.00%,False
Sentence Index,7,8,2,25.00%,False
Sentence Index,8,3,1,33.33%,False
Sentence Index,9,3,0,0.00%,False
