Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,106,25,23.27%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,28,8,27.38%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,54,12,21.60%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,23,5,23.19%,True
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,16,9,54.17%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,5,2,40.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,2,1,50.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,9,6,62.97%,True
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,12,9,72.22%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,9,7,74.08%,True
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,5,3,66.67%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,3,3,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,2,0,16.67%,False
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,2,1,50.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,1,1,100.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,1,100.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,12,36.46%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,17,26.88%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,1,25.00%,True
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,18,40.91%,True
"Granularity=clause, Sentence Index=0",2,clause,0.0,,1,1,100.00%,False
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,1,1,100.00%,False
"Granularity=clause, Sentence Index=1",2,clause,1.0,,2,1,50.00%,False
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,2,1,50.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,2,66.67%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,142,42,29.81%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,112,31,27.38%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,2,1,50.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,2,0,0.00%,False
