Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,106,29,27.05%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,28,7,26.19%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,54,12,22.84%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,23,9,39.13%,True
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,16,10,60.42%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,5,2,40.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,2,1,50.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,9,7,74.08%,True
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,12,9,75.00%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,1,1,66.67%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,9,7,81.48%,True
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,5,4,73.33%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,3,3,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,2,1,33.33%,True
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,2,1,50.00%,True
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,1,1,100.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,1,100.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,11,35.42%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,17,27.42%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,1,25.00%,True
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,24,53.79%,True
"Granularity=clause, Sentence Index=0",2,clause,0.0,,1,1,100.00%,False
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,1,1,100.00%,False
"Granularity=clause, Sentence Index=1",2,clause,1.0,,2,1,50.00%,True
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,2,1,50.00%,True
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,2,66.67%,True
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,142,53,37.56%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,2,1,50.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,112,41,36.31%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,2,1,50.00%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0.0,SBAR,8,3,37.50%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0.0,VP,6,3,55.56%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0.0,WHADVP,2,2,83.33%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0.0,WHNP,5,3,53.33%,True
"Granularity=minimal, Sentence Index=1",2,minimal,1.0,,23,15,66.67%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1.0,ADJP,1,1,66.67%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,19,12,61.40%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,3,3,100.00%,False
"Granularity=minimal, Sentence Index=2",2,minimal,2.0,,29,21,72.41%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2.0,ADVP,2,1,50.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2.0,NP,18,14,77.78%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2.0,SBAR,3,3,100.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2.0,VP,4,3,75.00%,True
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2.0,WHADVP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2.0,WHNP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=3",2,minimal,3.0,,6,3,50.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3.0,NP,5,2,40.00%,True
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3.0,SBAR,1,1,100.00%,False
"Granularity=minimal, Sentence Index=4",2,minimal,4.0,,5,3,60.00%,True
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4.0,NP,3,2,66.67%,True
