Category,Value,Base,Result,Frequency,Evaluable
Granularity,chunk,142,8,5.87%,True
Granularity,clause,3,0,11.11%,False
Granularity,minimal,208,15,7.37%,True
Sentence Index,0,249,19,7.76%,True
Sentence Index,1,41,1,3.25%,True
Sentence Index,2,41,2,5.69%,True
Sentence Index,3,11,1,9.09%,False
Sentence Index,4,7,0,0.00%,False
Sentence Index,5,1,0,0.00%,False
Sentence Index,6,1,0,0.00%,False
Sentence Index,7,2,0,0.00%,False
Syntagm Type,ADJP,3,0,11.11%,False
Syntagm Type,ADVP,4,0,0.00%,False
Syntagm Type,NP,190,14,7.19%,True
Syntagm Type,PP,64,4,6.25%,True
Syntagm Type,PRT,1,0,0.00%,False
Syntagm Type,QP,2,0,0.00%,False
Syntagm Type,SBAR,26,1,2.57%,True
Syntagm Type,VP,54,5,9.26%,True
Syntagm Type,WHADVP,3,0,0.00%,False
Syntagm Type,WHNP,6,0,5.56%,False
