Category,Value,Base,Result,Frequency,Evaluable
Granularity,chunk,142,53,37.32%,True
Granularity,clause,3,2,66.67%,False
Granularity,minimal,208,99,47.44%,True
Sentence Index,0,249,83,33.33%,True
Sentence Index,1,41,26,63.41%,True
Sentence Index,2,41,30,73.17%,True
Sentence Index,3,11,7,60.61%,True
Sentence Index,4,7,4,57.14%,True
Sentence Index,5,1,1,100.00%,False
Sentence Index,6,1,1,100.00%,False
Sentence Index,7,2,2,100.00%,False
Syntagm Type,ADJP,3,2,55.56%,False
Syntagm Type,ADVP,4,1,25.00%,True
Syntagm Type,NP,190,83,43.51%,True
Syntagm Type,PP,64,18,28.12%,True
Syntagm Type,PRT,1,0,0.00%,False
Syntagm Type,QP,2,0,0.00%,False
Syntagm Type,SBAR,26,16,61.54%,True
Syntagm Type,VP,54,30,55.56%,True
Syntagm Type,WHADVP,3,2,55.56%,False
Syntagm Type,WHNP,6,3,44.44%,True
