Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,106,1,0.63%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,28,1,2.38%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,54,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,23,0,0.00%,False
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,16,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,5,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,2,0,0.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,9,0,0.00%,False
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,12,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,9,0,0.00%,False
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,5,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,3,0,0.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,2,0,0.00%,False
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,2,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,1,0,0.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,0,0.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,1,2.08%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,0,0.00%,False
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,0,0.00%,False
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,0,0.00%,False
"Granularity=clause, Sentence Index=0",2,clause,0.0,,1,0,0.00%,False
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0.0,SBAR,1,0,0.00%,False
"Granularity=clause, Sentence Index=1",2,clause,1.0,,2,0,0.00%,False
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1.0,SBAR,2,0,0.00%,False
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,0,0.00%,False
"Granularity=minimal, Sentence Index=0",2,minimal,0.0,,142,1,0.47%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0.0,ADJP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0.0,ADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0.0,NP,112,1,0.59%,True
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0.0,PP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0.0,PRT,1,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0.0,QP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0.0,SBAR,8,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0.0,VP,6,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0.0,WHADVP,2,0,0.00%,False
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0.0,WHNP,5,0,0.00%,False
"Granularity=minimal, Sentence Index=1",2,minimal,1.0,,23,1,2.90%,True
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1.0,ADJP,1,0,0.00%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1.0,NP,19,1,3.51%,False
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1.0,SBAR,3,0,0.00%,False
