Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency,Evaluable
"Granularity=chunk, Sentence Index=0",2,chunk,0.0,,106,28,26.42%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0.0,NP,28,8,28.57%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0.0,PP,54,11,20.99%,True
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0.0,VP,23,9,37.68%,True
"Granularity=chunk, Sentence Index=1",2,chunk,1.0,,16,9,56.25%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1.0,PP,5,2,40.00%,True
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1.0,SBAR,2,1,50.00%,False
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1.0,VP,9,6,66.67%,True
"Granularity=chunk, Sentence Index=2",2,chunk,2.0,,12,10,80.55%,True
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2.0,NP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2.0,SBAR,1,0,0.00%,False
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2.0,VP,9,8,85.19%,True
"Granularity=chunk, Sentence Index=3",2,chunk,3.0,,5,4,80.00%,True
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3.0,NP,3,3,100.00%,False
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3.0,VP,2,1,50.00%,False
"Granularity=chunk, Sentence Index=4",2,chunk,4.0,,2,2,83.33%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4.0,PP,1,1,100.00%,False
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4.0,VP,1,1,66.67%,False
"Granularity=chunk, Sentence Index=5",2,chunk,5.0,,1,1,100.00%,False
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5.0,PP,1,1,100.00%,False
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,12,37.50%,True
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,16,26.35%,True
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,1,25.00%,True
