Category,Value,Base,Result,Frequency,Evaluable
Granularity,chunk,142,8,5.87%,True
Granularity,clause,3,0,0.00%,False
Granularity,minimal,208,18,8.65%,True
Sentence Index,0,249,19,7.50%,True
Sentence Index,1,41,3,7.32%,True
Sentence Index,2,41,4,8.95%,True
Sentence Index,3,11,1,6.06%,False
Sentence Index,4,7,0,0.00%,False
Sentence Index,5,1,0,0.00%,False
Sentence Index,6,1,0,0.00%,False
Sentence Index,7,2,0,16.67%,False
Syntagm Type,ADJP,3,0,0.00%,False
Syntagm Type,ADVP,4,0,0.00%,False
Syntagm Type,NP,190,16,8.42%,True
Syntagm Type,PP,64,5,7.81%,True
Syntagm Type,PRT,1,0,0.00%,False
Syntagm Type,QP,2,0,0.00%,False
Syntagm Type,SBAR,26,0,1.28%,False
Syntagm Type,VP,54,5,9.26%,True
Syntagm Type,WHADVP,3,0,0.00%,False
Syntagm Type,WHNP,6,0,0.00%,False
