Category,Value,Base,Result,Frequency,Evaluable
Granularity,chunk,142,53,37.56%,True
Granularity,clause,3,2,66.67%,False
Granularity,minimal,208,97,46.64%,True
Sentence Index,0,249,81,32.53%,True
Sentence Index,1,41,25,60.16%,True
Sentence Index,2,41,31,74.80%,True
Sentence Index,3,11,7,63.64%,True
Sentence Index,4,7,5,71.43%,True
Sentence Index,5,1,1,100.00%,False
Sentence Index,6,1,1,100.00%,False
Sentence Index,7,2,2,100.00%,False
Syntagm Type,ADJP,3,2,55.56%,False
Syntagm Type,ADVP,4,1,25.00%,True
Syntagm Type,NP,190,83,43.86%,True
Syntagm Type,PP,64,17,27.08%,True
Syntagm Type,PRT,1,0,0.00%,False
Syntagm Type,QP,2,0,0.00%,False
Syntagm Type,SBAR,26,15,57.69%,True
Syntagm Type,VP,54,30,55.56%,True
Syntagm Type,WHADVP,3,2,66.67%,False
Syntagm Type,WHNP,6,2,33.33%,True
