Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,106,1,0.94%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,28,1,3.57%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,54,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,23,0,0.00%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,16,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,5,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,2,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,9,0,0.00%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,12,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,9,0,0.00%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,5,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,3,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,2,0,0.00%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,2,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,1,0,0.00%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,1,0,0.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,0,0.00%
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,1,3.12%
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,0,0.00%
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,0,0.00%
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,0,0.00%
"Granularity=clause, Sentence Index=0",2,clause,0,,1,0,0.00%
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0,SBAR,1,0,0.00%
"Granularity=clause, Sentence Index=1",2,clause,1,,2,0,0.00%
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1,SBAR,2,0,0.00%
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,0,0.00%
"Granularity=minimal, Sentence Index=0",2,minimal,0,,142,2,1.41%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,112,1,0.89%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,8,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=VP",3,minimal,0,VP,6,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHADVP",3,minimal,0,WHADVP,2,1,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=WHNP",3,minimal,0,WHNP,5,0,0.00%
"Granularity=minimal, Sentence Index=1",2,minimal,1,,23,1,4.35%
"Granularity=minimal, Sentence Index=1, Syntagm Type=ADJP",3,minimal,1,ADJP,1,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=NP",3,minimal,1,NP,19,0,0.00%
"Granularity=minimal, Sentence Index=1, Syntagm Type=SBAR",3,minimal,1,SBAR,3,1,33.33%
"Granularity=minimal, Sentence Index=2",2,minimal,2,,29,2,6.90%
"Granularity=minimal, Sentence Index=2, Syntagm Type=ADVP",3,minimal,2,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=NP",3,minimal,2,NP,18,2,11.11%
"Granularity=minimal, Sentence Index=2, Syntagm Type=SBAR",3,minimal,2,SBAR,3,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=VP",3,minimal,2,VP,4,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHADVP",3,minimal,2,WHADVP,1,0,0.00%
"Granularity=minimal, Sentence Index=2, Syntagm Type=WHNP",3,minimal,2,WHNP,1,0,0.00%
"Granularity=minimal, Sentence Index=3",2,minimal,3,,6,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=NP",3,minimal,3,NP,5,0,0.00%
"Granularity=minimal, Sentence Index=3, Syntagm Type=SBAR",3,minimal,3,SBAR,1,0,0.00%
"Granularity=minimal, Sentence Index=4",2,minimal,4,,5,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=NP",3,minimal,4,NP,3,0,0.00%
"Granularity=minimal, Sentence Index=4, Syntagm Type=SBAR",3,minimal,4,SBAR,2,0,0.00%
"Granularity=minimal, Sentence Index=6",2,minimal,6,,1,0,0.00%
"Granularity=minimal, Sentence Index=6, Syntagm Type=SBAR",3,minimal,6,SBAR,1,0,0.00%
"Granularity=minimal, Sentence Index=7",2,minimal,7,,2,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=NP",3,minimal,7,NP,1,0,0.00%
"Granularity=minimal, Sentence Index=7, Syntagm Type=SBAR",3,minimal,7,SBAR,1,0,0.00%
"Granularity=minimal, Syntagm Type=ADJP",2,minimal,,ADJP,3,0,0.00%
"Granularity=minimal, Syntagm Type=ADVP",2,minimal,,ADVP,4,0,0.00%
"Granularity=minimal, Syntagm Type=NP",2,minimal,,NP,158,3,1.90%
"Granularity=minimal, Syntagm Type=PP",2,minimal,,PP,2,0,0.00%
"Granularity=minimal, Syntagm Type=PRT",2,minimal,,PRT,1,0,0.00%
"Granularity=minimal, Syntagm Type=QP",2,minimal,,QP,2,0,0.00%
"Granularity=minimal, Syntagm Type=SBAR",2,minimal,,SBAR,19,1,5.26%
"Granularity=minimal, Syntagm Type=VP",2,minimal,,VP,10,0,0.00%
"Granularity=minimal, Syntagm Type=WHADVP",2,minimal,,WHADVP,3,1,33.33%
"Granularity=minimal, Syntagm Type=WHNP",2,minimal,,WHNP,6,0,0.00%
"Sentence Index=0, Syntagm Type=ADJP",2,,0,ADJP,2,0,0.00%
"Sentence Index=0, Syntagm Type=ADVP",2,,0,ADVP,2,0,0.00%
"Sentence Index=0, Syntagm Type=NP",2,,0,NP,140,2,1.43%
"Sentence Index=0, Syntagm Type=PP",2,,0,PP,56,0,0.00%
"Sentence Index=0, Syntagm Type=PRT",2,,0,PRT,1,0,0.00%
"Sentence Index=0, Syntagm Type=QP",2,,0,QP,2,0,0.00%
"Sentence Index=0, Syntagm Type=SBAR",2,,0,SBAR,10,0,0.00%
"Sentence Index=0, Syntagm Type=VP",2,,0,VP,29,0,0.00%
"Sentence Index=0, Syntagm Type=WHADVP",2,,0,WHADVP,2,1,50.00%
"Sentence Index=0, Syntagm Type=WHNP",2,,0,WHNP,5,0,0.00%
"Sentence Index=1, Syntagm Type=ADJP",2,,1,ADJP,1,0,0.00%
"Sentence Index=1, Syntagm Type=NP",2,,1,NP,19,0,0.00%
"Sentence Index=1, Syntagm Type=PP",2,,1,PP,5,0,0.00%
"Sentence Index=1, Syntagm Type=SBAR",2,,1,SBAR,7,1,14.29%
"Sentence Index=1, Syntagm Type=VP",2,,1,VP,9,0,0.00%
"Sentence Index=2, Syntagm Type=ADVP",2,,2,ADVP,2,0,0.00%
"Sentence Index=2, Syntagm Type=NP",2,,2,NP,19,2,10.53%
"Sentence Index=2, Syntagm Type=PP",2,,2,PP,1,0,0.00%
"Sentence Index=2, Syntagm Type=SBAR",2,,2,SBAR,4,0,0.00%
"Sentence Index=2, Syntagm Type=VP",2,,2,VP,13,0,0.00%
"Sentence Index=2, Syntagm Type=WHADVP",2,,2,WHADVP,1,0,0.00%
"Sentence Index=2, Syntagm Type=WHNP",2,,2,WHNP,1,0,0.00%
"Sentence Index=3, Syntagm Type=NP",2,,3,NP,8,0,0.00%
"Sentence Index=3, Syntagm Type=SBAR",2,,3,SBAR,1,0,0.00%
"Sentence Index=3, Syntagm Type=VP",2,,3,VP,2,0,0.00%
"Sentence Index=4, Syntagm Type=NP",2,,4,NP,3,0,0.00%
"Sentence Index=4, Syntagm Type=PP",2,,4,PP,1,0,0.00%
"Sentence Index=4, Syntagm Type=SBAR",2,,4,SBAR,2,0,0.00%
"Sentence Index=4, Syntagm Type=VP",2,,4,VP,1,0,0.00%
"Sentence Index=5, Syntagm Type=PP",2,,5,PP,1,0,0.00%
"Sentence Index=6, Syntagm Type=SBAR",2,,6,SBAR,1,0,0.00%
"Sentence Index=7, Syntagm Type=NP",2,,7,NP,1,0,0.00%
"Sentence Index=7, Syntagm Type=SBAR",2,,7,SBAR,1,0,0.00%
