Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,106,7,6.60%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,28,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,54,5,9.26%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,23,2,8.70%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,16,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,5,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,2,0,0.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,9,0,0.00%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,12,1,8.33%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,9,1,11.11%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,5,1,20.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,3,0,0.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,2,1,50.00%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,2,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,1,0,0.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,1,0,0.00%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,1,0,0.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,0,0.00%
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,0,0.00%
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,5,8.06%
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,0,0.00%
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,4,9.09%
"Granularity=clause, Sentence Index=0",2,clause,0,,1,0,0.00%
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0,SBAR,1,0,0.00%
"Granularity=clause, Sentence Index=1",2,clause,1,,2,1,50.00%
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1,SBAR,2,1,50.00%
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,1,33.33%
"Granularity=minimal, Sentence Index=0",2,minimal,0,,142,12,8.45%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,112,11,9.82%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,2,0,0.00%
