Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,1,33.33%
Syntagm Type,ADVP,4,0,0.00%
Syntagm Type,NP,190,15,7.89%
Syntagm Type,PP,64,5,7.81%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,1,3.85%
Syntagm Type,VP,54,5,9.26%
Syntagm Type,WHADVP,3,0,0.00%
Syntagm Type,WHNP,6,0,0.00%
Granularity,chunk,142,9,6.34%
Granularity,clause,3,1,33.33%
Granularity,minimal,208,17,8.17%
Sentence Index,0,249,19,7.63%
Sentence Index,1,41,3,7.32%
Sentence Index,2,41,4,9.76%
Sentence Index,3,11,1,9.09%
Sentence Index,4,7,0,0.00%
Sentence Index,5,1,0,0.00%
Sentence Index,6,1,0,0.00%
Sentence Index,7,2,0,0.00%
