Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,1,33.33%
Syntagm Type,ADVP,4,0,0.00%
Syntagm Type,NP,190,66,34.74%
Syntagm Type,PP,64,17,26.56%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,12,46.15%
Syntagm Type,VP,54,23,42.59%
Syntagm Type,WHADVP,3,2,66.67%
Syntagm Type,WHNP,6,3,50.00%
Granularity,chunk,142,48,33.80%
Granularity,clause,3,2,66.67%
Granularity,minimal,208,74,35.58%
Sentence Index,0,249,69,27.71%
Sentence Index,1,41,21,51.22%
Sentence Index,2,41,25,60.98%
Sentence Index,3,11,4,36.36%
Sentence Index,4,7,2,28.57%
Sentence Index,5,1,1,100.00%
Sentence Index,6,1,0,0.00%
Sentence Index,7,2,2,100.00%
