Combination,Features,Granularity,Sentence Index,Syntagm Type,Base,Result,Frequency
"Granularity=chunk, Sentence Index=0",2,chunk,0,,106,35,33.02%
"Granularity=chunk, Sentence Index=0, Syntagm Type=NP",3,chunk,0,NP,28,8,28.57%
"Granularity=chunk, Sentence Index=0, Syntagm Type=PP",3,chunk,0,PP,54,21,38.89%
"Granularity=chunk, Sentence Index=0, Syntagm Type=SBAR",3,chunk,0,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=0, Syntagm Type=VP",3,chunk,0,VP,23,6,26.09%
"Granularity=chunk, Sentence Index=1",2,chunk,1,,16,11,68.75%
"Granularity=chunk, Sentence Index=1, Syntagm Type=PP",3,chunk,1,PP,5,2,40.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=SBAR",3,chunk,1,SBAR,2,1,50.00%
"Granularity=chunk, Sentence Index=1, Syntagm Type=VP",3,chunk,1,VP,9,8,88.89%
"Granularity=chunk, Sentence Index=2",2,chunk,2,,12,11,91.67%
"Granularity=chunk, Sentence Index=2, Syntagm Type=NP",3,chunk,2,NP,1,1,100.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=PP",3,chunk,2,PP,1,2,200.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=SBAR",3,chunk,2,SBAR,1,0,0.00%
"Granularity=chunk, Sentence Index=2, Syntagm Type=VP",3,chunk,2,VP,9,8,88.89%
"Granularity=chunk, Sentence Index=3",2,chunk,3,,5,4,80.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=NP",3,chunk,3,NP,3,3,100.00%
"Granularity=chunk, Sentence Index=3, Syntagm Type=VP",3,chunk,3,VP,2,1,50.00%
"Granularity=chunk, Sentence Index=4",2,chunk,4,,2,1,50.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=PP",3,chunk,4,PP,1,1,100.00%
"Granularity=chunk, Sentence Index=4, Syntagm Type=VP",3,chunk,4,VP,1,0,0.00%
"Granularity=chunk, Sentence Index=5",2,chunk,5,,1,1,100.00%
"Granularity=chunk, Sentence Index=5, Syntagm Type=PP",3,chunk,5,PP,1,1,100.00%
"Granularity=chunk, Syntagm Type=NP",2,chunk,,NP,32,12,37.50%
"Granularity=chunk, Syntagm Type=PP",2,chunk,,PP,62,27,43.55%
"Granularity=chunk, Syntagm Type=SBAR",2,chunk,,SBAR,4,1,25.00%
"Granularity=chunk, Syntagm Type=VP",2,chunk,,VP,44,23,52.27%
"Granularity=clause, Sentence Index=0",2,clause,0,,1,1,100.00%
"Granularity=clause, Sentence Index=0, Syntagm Type=SBAR",3,clause,0,SBAR,1,1,100.00%
"Granularity=clause, Sentence Index=1",2,clause,1,,2,3,150.00%
"Granularity=clause, Sentence Index=1, Syntagm Type=SBAR",3,clause,1,SBAR,2,3,150.00%
"Granularity=clause, Syntagm Type=SBAR",2,clause,,SBAR,3,4,133.33%
"Granularity=minimal, Sentence Index=0",2,minimal,0,,142,57,40.14%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADJP",3,minimal,0,ADJP,2,1,50.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=ADVP",3,minimal,0,ADVP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=NP",3,minimal,0,NP,112,44,39.29%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PP",3,minimal,0,PP,2,2,100.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=PRT",3,minimal,0,PRT,1,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=QP",3,minimal,0,QP,2,0,0.00%
"Granularity=minimal, Sentence Index=0, Syntagm Type=SBAR",3,minimal,0,SBAR,8,4,50.00%
