Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,0,0.00%
Syntagm Type,ADVP,4,0,0.00%
Syntagm Type,NP,190,16,8.42%
Syntagm Type,PP,64,3,4.69%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,0,0.00%
Syntagm Type,VP,54,2,3.70%
Syntagm Type,WHADVP,3,0,0.00%
Syntagm Type,WHNP,6,0,0.00%
Granularity,chunk,142,3,2.11%
Granularity,clause,3,0,0.00%
Granularity,minimal,208,18,8.65%
Sentence Index,0,249,15,6.02%
Sentence Index,1,41,3,7.32%
Sentence Index,2,41,2,4.88%
Sentence Index,3,11,0,0.00%
Sentence Index,4,7,0,0.00%
Sentence Index,5,1,0,0.00%
Sentence Index,6,1,0,0.00%
Sentence Index,7,2,1,50.00%
