Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,Generate Python code for the following,VP,chunk,: A function copies a number of bytes from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,Python code,NP,minimal,Generate for the following: A function copies a number of bytes from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,for the following,PP,chunk,Generate Python code : A function copies a number of bytes from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,the following,NP,minimal,Generate Python code for : A function copies a number of bytes from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,A function,NP,minimal,Generate Python code for the following: copies a number of bytes from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,a number of bytes,NP,chunk,Generate Python code for the following: A function copies from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,a number,NP,minimal,Generate Python code for the following: A function copies of bytes from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,of bytes,PP,chunk,Generate Python code for the following: A function copies a number from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,bytes,NP,minimal,Generate Python code for the following: A function copies a number of from one memory location to another. The first argument is the destination; the second argument is the source and the third argument is the number of to copy. The buffer is 256 long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,from one memory location to another,PP,chunk,Generate Python code for the following: A function copies a number of bytes . The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,from one memory location,PP,chunk,Generate Python code for the following: A function copies a number of bytes to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
0,Generate Python code for the following: A function copies a number of bytes from one memory location to another.,one memory location,NP,minimal,Generate Python code for the following: A function copies a number of bytes from to another. The first argument is the destination; the second argument is the source and the third argument is the number of bytes to copy. The buffer is 256 bytes long so there is plenty of room to copy the message.
